episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon,episode_length
0,0,6,0,-50,5,0,10,90,0.0995,100
1,0,2,1,-60,4,0,4,96,0.09900250000000001,100
2,0,1,6,-90,1,0,10,90,0.0985074875,100
3,0,3,7,-40,6,0,13,87,0.09801495006250001,100
4,0,3,3,-60,4,0,6,94,0.09752487531218751,100
5,0,7,1,-50,5,0,8,92,0.09703725093562657,100
6,0,6,4,-30,7,0,11,89,0.09655206468094843,100
7,0,2,7,-70,3,0,15,85,0.09606930435754368,100
8,0,4,4,0,10,0,6,94,0.09558895783575597,100
9,0,9,2,-80,2,0,12,88,0.09511101304657718,100
10,0,5,8,-20,8,0,5,95,0.09463545798134429,100
11,0,4,6,-70,3,0,7,93,0.09416228069143756,100
12,0,6,1,-70,3,0,8,92,0.09369146928798038,100
13,0,9,8,-20,8,0,10,90,0.09322301194154048,100
14,0,2,8,-20,8,0,10,90,0.09275689688183278,100
15,0,5,6,-70,3,0,10,90,0.09229311239742362,100
16,0,1,1,-50,5,0,6,94,0.0918316468354365,100
17,0,0,2,-10,9,0,9,91,0.09137248860125932,100
18,0,9,2,-40,6,0,13,87,0.09091562615825302,100
19,0,8,0,-80,2,0,14,86,0.09046104802746176,100
20,0,9,2,-20,8,0,14,86,0.09000874278732444,100
21,0,8,5,-40,6,0,9,91,0.08955869907338782,100
22,0,7,7,-90,1,0,10,90,0.08911090557802087,100
23,0,6,6,-10,9,0,18,82,0.08866535105013076,100
24,0,4,8,-90,1,0,9,91,0.08822202429488012,100
25,0,2,2,-90,1,0,9,91,0.08778091417340572,100
26,0,5,6,-30,7,0,9,91,0.0873420096025387,100
27,0,3,4,-70,3,0,12,88,0.086905299554526,100
28,0,3,3,-40,6,0,11,89,0.08647077305675337,100
29,0,3,5,-90,1,0,9,91,0.0860384191914696,100
30,0,6,6,-80,2,0,11,89,0.08560822709551225,100
31,0,0,6,-60,4,0,7,93,0.08518018596003468,100
