episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon,episode_length
32,0,9,8,-40,6,0,4,96,0.08475428503023451,100
33,0,9,3,-40,6,0,9,91,0.08433051360508334,100
34,0,8,4,-90,1,0,10,90,0.08390886103705793,100
35,0,5,8,-40,6,0,10,90,0.08348931673187264,100
36,0,1,5,-30,7,0,15,85,0.08307187014821328,100
37,0,5,3,-60,4,0,10,90,0.08265651079747222,100
38,0,8,5,-40,6,0,6,94,0.08224322824348486,100
39,0,4,7,-70,3,0,6,94,0.08183201210226744,100
40,0,5,6,-40,6,0,8,92,0.0814228520417561,100
41,0,5,5,-80,2,0,6,94,0.08101573778154732,100
42,0,3,2,-50,5,0,5,95,0.08061065909263958,100
43,0,0,3,-60,4,0,8,92,0.08020760579717638,100
44,0,5,5,-70,3,0,6,94,0.0798065677681905,100
45,0,4,7,-80,2,0,3,97,0.07940753492934956,100
46,0,1,4,-50,5,0,9,91,0.07901049725470281,100
47,0,1,2,-70,3,0,8,92,0.0786154447684293,100
48,0,3,3,-80,2,0,15,85,0.07822236754458715,100
49,0,5,0,-60,4,0,5,95,0.07783125570686422,100
50,0,9,7,-40,6,0,5,95,0.0774420994283299,100
51,0,8,8,-60,4,0,8,92,0.07705488893118825,100
52,0,5,4,-50,5,0,9,91,0.07666961448653231,100
53,0,6,4,-50,5,0,7,93,0.07628626641409965,100
54,0,9,7,-40,6,0,10,90,0.07590483508202915,100
55,0,1,3,-90,1,0,4,96,0.075525310906619,100
56,0,6,5,-50,5,0,11,89,0.07514768435208591,100
57,0,3,0,-40,6,0,6,94,0.07477194593032548,100
58,0,0,6,-50,5,0,7,93,0.07439808620067385,100
59,0,8,9,-50,5,0,7,93,0.07402609576967048,100
60,0,9,6,-70,3,0,7,93,0.07365596529082213,100
61,0,7,0,-50,5,0,8,92,0.07328768546436802,100
62,0,3,6,0,10,0,10,90,0.07292124703704618,100
63,0,6,5,-80,2,0,6,94,0.07255664080186094,100
64,0,7,6,-60,4,0,6,94,0.07219385759785164,100
65,0,1,1,-70,3,0,5,95,0.07183288830986238,100
66,0,8,2,-70,3,0,6,94,0.07147372386831308,100
67,0,1,1,-60,4,0,7,93,0.07111635524897152,100
68,0,8,3,-90,1,0,7,93,0.07076077347272666,100
69,0,3,4,-40,6,0,9,91,0.07040696960536302,100
70,0,7,0,-70,3,0,1,99,0.0700549347573362,100
71,0,4,8,-80,2,0,11,89,0.06970466008354953,100
72,0,2,2,-40,6,0,7,93,0.06935613678313178,100
73,0,8,2,-60,4,0,4,96,0.06900935609921612,100
74,0,8,0,-60,4,0,4,96,0.06866430931872003,100
75,0,7,3,-60,4,0,8,92,0.06832098777212643,100
76,0,5,7,-30,7,0,7,93,0.0679793828332658,100
77,0,2,3,-60,4,0,8,92,0.06763948591909946,100
78,0,5,9,-30,7,0,10,90,0.06730128848950397,100
79,0,8,2,-10,9,0,9,91,0.06696478204705644,100
80,0,9,4,-50,5,0,9,91,0.06662995813682115,100
81,0,1,8,-80,2,0,7,93,0.06629680834613705,100
82,0,3,7,-80,2,0,9,91,0.06596532430440637,100
83,0,3,8,-10,9,0,8,92,0.06563549768288433,100
84,0,0,6,-50,5,0,10,90,0.06530732019446991,100
85,0,5,1,-60,4,0,8,92,0.06498078359349757,100
86,0,7,9,-50,5,0,4,96,0.06465587967553008,100
87,0,0,8,-50,5,0,9,91,0.06433260027715243,100
88,0,8,2,-30,7,0,10,90,0.06401093727576666,100
89,0,2,2,-70,3,0,6,94,0.06369088258938783,100
90,0,6,5,0,10,0,6,94,0.0633724281764409,100
91,0,7,5,-80,2,0,5,95,0.06305556603555869,100
92,0,4,2,-90,1,0,5,95,0.0627402882053809,100
93,0,2,0,-20,8,0,0,100,0.062426586764353996,100
94,0,6,5,-60,4,0,4,96,0.062114453830532226,100
95,0,9,5,-60,4,0,9,91,0.061803881561379566,100
96,0,6,2,-60,4,0,6,94,0.061494862153572666,100
97,0,6,7,-80,2,0,3,97,0.0611873878428048,100
98,0,8,3,-60,4,0,5,95,0.060881450903590775,100
99,0,2,1,-60,4,0,6,94,0.06057704364907282,100
100,0,1,0,-50,5,0,4,96,0.06027415843082746,100
101,0,5,4,-70,3,0,8,92,0.05997278763867332,100
102,0,2,1,-80,2,0,4,96,0.059672923700479955,100
103,0,4,2,-50,5,0,8,92,0.05937455908197756,100
104,0,6,5,-50,5,0,6,94,0.05907768628656767,100
105,0,9,6,-70,3,0,3,97,0.05878229785513483,100
106,0,1,4,-70,3,0,7,93,0.05848838636585915,100
107,0,2,0,-70,3,0,4,96,0.05819594443402985,100
108,0,0,6,-60,4,0,5,95,0.057904964711859706,100
109,0,2,2,-40,6,0,5,95,0.05761543988830041,100
110,0,5,3,-50,5,0,5,95,0.05732736268885891,100
111,0,5,1,-60,4,0,2,98,0.05704072587541461,100
112,0,2,2,-70,3,0,6,94,0.05675552224603753,100
113,0,3,9,-50,5,0,5,95,0.05647174463480734,100
114,0,4,6,-50,5,0,9,91,0.056189385911633305,100
115,0,9,1,20,12,0,13,87,0.05590843898207514,100
116,0,7,7,-70,3,0,6,94,0.05562889678716477,100
117,0,1,4,-50,5,0,5,95,0.055350752303228945,100
118,0,9,4,-30,7,0,9,91,0.0550739985417128,100
119,0,4,1,-20,8,0,8,92,0.05479862854900423,100
120,0,4,6,-50,5,0,3,97,0.05452463540625921,100
121,0,7,6,-50,5,0,3,97,0.05425201222922791,100
122,0,7,4,-80,2,0,1,99,0.05398075216808177,100
123,0,4,7,-80,2,0,5,95,0.053710848407241364,100
124,0,6,6,-20,8,0,7,93,0.053442294165205156,100
125,0,8,0,-30,7,0,3,97,0.05317508269437913,100
126,0,2,1,-80,2,0,7,93,0.052909207280907235,100
127,0,7,2,-50,5,0,10,90,0.0526446612445027,100
128,0,2,9,-60,4,0,5,95,0.052381437938280186,100
129,0,8,6,-60,4,0,5,95,0.052119530748588785,100
130,0,3,5,-90,1,0,1,99,0.05185893309484584,100
131,0,3,3,-50,5,0,2,98,0.05159963842937161,100
132,0,0,7,-70,3,0,5,95,0.051341640237224755,100
133,0,3,2,-30,7,0,9,91,0.05108493203603863,100
134,0,1,3,-60,4,0,13,87,0.05082950737585844,100
135,0,1,1,-80,2,0,7,93,0.05057535983897914,100
136,0,5,1,-50,5,0,6,94,0.050322483039784247,100
137,0,5,9,-40,6,0,6,94,0.050070870624585324,100
138,0,0,2,-50,5,0,6,94,0.049820516271462396,100
139,0,3,5,-20,8,0,3,97,0.049571413690105086,100
140,0,6,8,-50,5,0,8,92,0.04932355662165456,100
141,0,9,0,-60,4,0,8,92,0.04907693883854629,100
142,0,4,3,-70,3,0,4,96,0.048831554144353556,100
143,0,3,4,-40,6,0,5,95,0.04858739637363179,100
144,0,7,8,-50,5,0,10,90,0.04834445939176363,100
145,0,1,4,-60,4,0,6,94,0.04810273709480481,100
146,0,8,6,-70,3,0,3,97,0.04786222340933079,100
147,0,2,1,-60,4,0,3,97,0.04762291229228413,100
148,0,0,3,-20,8,0,6,94,0.04738479773082271,100
149,0,5,2,-60,4,0,2,98,0.04714787374216859,100
150,0,7,2,-90,1,0,2,98,0.046912134373457745,100
151,0,6,8,-40,6,0,4,96,0.04667757370159046,100
152,0,4,9,-60,4,0,4,96,0.046444185833082505,100
153,0,4,8,-40,6,0,6,94,0.046211964903917095,100
154,0,3,4,-50,5,0,4,96,0.04598090507939751,100
155,0,4,8,-80,2,0,7,93,0.045751000554000526,100
156,0,8,2,-50,5,0,3,97,0.04552224555123052,100
157,0,3,4,-50,5,0,5,95,0.04529463432347437,100
158,0,3,4,-60,4,0,1,99,0.045068161151857,100
159,0,4,3,-30,7,0,7,93,0.04484282034609772,100
160,0,3,6,-40,6,0,6,94,0.04461860624436723,100
161,0,3,7,-30,7,0,1,99,0.044395513213145395,100
162,0,0,0,-50,5,0,4,96,0.04417353564707967,100
163,0,1,3,-70,3,0,2,98,0.04395266796884427,100
164,0,3,3,-70,3,0,5,95,0.04373290462900005,100
165,0,2,3,-70,3,0,4,96,0.04351424010585505,100
166,0,7,4,-60,4,0,3,97,0.043296668905325776,100
167,0,9,1,-50,5,0,10,90,0.04308018556079915,100
168,0,0,5,-70,3,0,4,96,0.04286478463299515,100
169,0,7,6,-70,3,0,7,93,0.042650460709830175,100
170,0,6,2,-70,3,0,2,98,0.04243720840628103,100
171,0,7,5,-50,5,0,5,95,0.042225022364249624,100
172,0,7,5,-40,6,0,2,98,0.04201389725242838,100
173,0,6,2,-70,3,0,5,95,0.041803827766166236,100
174,0,5,9,-50,5,0,5,95,0.0415948086273354,100
175,0,2,1,-70,3,0,3,97,0.04138683458419873,100
176,0,0,6,-70,3,0,5,95,0.04117990041127773,100
177,0,2,8,-60,4,0,4,96,0.04097400090922134,100
178,0,5,9,-70,3,0,3,97,0.04076913090467523,100
179,0,8,5,-70,3,0,6,94,0.04056528525015186,100
180,0,3,4,-60,4,0,0,100,0.0403624588239011,100
181,0,8,2,-70,3,0,3,97,0.04016064652978159,100
182,0,7,3,-80,2,0,1,99,0.03995984329713268,100
183,0,5,8,-30,7,0,3,97,0.03976004408064702,100
184,0,0,7,-50,5,0,3,97,0.03956124386024378,100
185,0,5,6,-60,4,0,6,94,0.039363437640942564,100
186,0,7,1,-50,5,0,6,94,0.03916662045273785,100
187,0,4,7,-60,4,0,7,93,0.03897078735047416,100
188,0,1,6,-60,4,0,6,94,0.03877593341372179,100
189,0,6,1,-40,6,0,3,97,0.03858205374665318,100
190,0,2,2,-10,9,0,1,99,0.03838914347791991,100
191,0,6,6,-60,4,0,2,98,0.038197197760530315,100
192,0,3,6,-10,9,0,2,98,0.038006211771727666,100
193,0,0,2,-70,3,0,3,97,0.037816180712869026,100
194,0,7,2,-20,8,0,3,97,0.03762709980930468,100
195,0,5,6,-30,7,0,6,94,0.03743896431025816,100
196,0,6,4,-50,5,0,9,91,0.037251769488706864,100
197,0,3,6,-20,8,0,6,94,0.03706551064126333,100
198,0,3,7,-40,6,0,2,98,0.03688018308805701,100
199,0,7,6,-60,4,0,2,98,0.03669578217261672,100
