episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon,episode_length
105,0,1,6,-40,6,0,3,97,0.05878229785513483,100
106,0,8,2,-60,4,0,4,96,0.05848838636585915,100
107,0,7,8,-80,2,0,4,96,0.05819594443402985,100
108,0,4,8,-100,0,0,4,96,0.057904964711859706,100
109,0,6,8,-60,4,0,4,96,0.05761543988830041,100
110,0,4,3,-40,6,0,6,94,0.05732736268885891,100
111,0,2,6,-50,5,0,7,93,0.05704072587541461,100
112,0,3,6,-60,4,0,9,91,0.05675552224603753,100
113,0,3,8,-50,5,0,4,96,0.05647174463480734,100
114,0,6,0,-80,2,0,5,95,0.056189385911633305,100
115,0,7,8,-40,6,0,5,95,0.05590843898207514,100
116,0,2,1,-70,3,0,5,95,0.05562889678716477,100
117,0,0,3,-40,6,0,8,92,0.055350752303228945,100
118,0,2,4,-20,8,0,10,90,0.0550739985417128,100
119,0,3,0,-60,4,0,6,94,0.05479862854900423,100
120,0,0,1,-30,7,0,6,94,0.05452463540625921,100
121,0,5,5,-50,5,0,6,94,0.05425201222922791,100
122,0,3,9,-70,3,0,6,94,0.05398075216808177,100
123,0,8,0,-30,7,0,5,95,0.053710848407241364,100
124,0,4,7,-50,5,0,4,96,0.053442294165205156,100
125,0,2,9,-50,5,0,9,91,0.05317508269437913,100
126,0,1,1,-90,1,0,6,94,0.052909207280907235,100
127,0,7,3,-40,6,0,3,97,0.0526446612445027,100
128,0,1,9,-50,5,0,10,90,0.052381437938280186,100
129,0,4,1,0,10,0,3,97,0.052119530748588785,100
130,0,6,3,-30,7,0,4,96,0.05185893309484584,100
131,0,8,0,-50,5,0,6,94,0.05159963842937161,100
132,0,4,4,-70,3,0,8,92,0.051341640237224755,100
133,0,9,2,-70,3,0,6,94,0.05108493203603863,100
134,0,2,9,-70,3,0,6,94,0.05082950737585844,100
135,0,3,2,-80,2,0,4,96,0.05057535983897914,100
136,0,3,3,-80,2,0,8,92,0.050322483039784247,100
137,0,6,7,-60,4,0,11,89,0.050070870624585324,100
138,0,5,9,-70,3,0,8,92,0.049820516271462396,100
139,0,8,8,-40,6,0,4,96,0.049571413690105086,100
140,0,4,4,-80,2,0,5,95,0.04932355662165456,100
141,0,0,6,-30,7,0,5,95,0.04907693883854629,100
142,0,2,3,-50,5,0,3,97,0.048831554144353556,100
143,0,4,9,-50,5,0,4,96,0.04858739637363179,100
144,0,4,1,-50,5,0,4,96,0.04834445939176363,100
145,0,8,8,-40,6,0,4,96,0.04810273709480481,100
146,0,2,3,-70,3,0,9,91,0.04786222340933079,100
147,0,1,3,-70,3,0,5,95,0.04762291229228413,100
148,0,1,5,-10,9,0,4,96,0.04738479773082271,100
149,0,1,1,-50,5,0,1,99,0.04714787374216859,100
150,0,0,6,-60,4,0,5,95,0.046912134373457745,100
151,0,8,8,0,10,0,4,96,0.04667757370159046,100
152,0,2,6,-90,1,0,7,93,0.046444185833082505,100
153,0,5,8,-30,7,0,5,95,0.046211964903917095,100
154,0,0,6,-70,3,0,4,96,0.04598090507939751,100
155,0,8,0,-50,5,0,4,96,0.045751000554000526,100
156,0,1,3,-40,6,0,6,94,0.04552224555123052,100
157,0,8,8,-50,5,0,2,98,0.04529463432347437,100
158,0,2,0,-70,3,0,6,94,0.045068161151857,100
159,0,1,0,-10,9,0,6,94,0.04484282034609772,100
160,0,2,6,-60,4,0,2,98,0.04461860624436723,100
161,0,5,1,-80,2,0,7,93,0.044395513213145395,100
162,0,2,0,-50,5,0,1,99,0.04417353564707967,100
163,0,4,9,-60,4,0,7,93,0.04395266796884427,100
164,0,7,9,-40,6,0,6,94,0.04373290462900005,100
165,0,6,1,-70,3,0,8,92,0.04351424010585505,100
166,0,3,5,-20,8,0,3,97,0.043296668905325776,100
167,0,7,5,-20,8,0,6,94,0.04308018556079915,100
168,0,2,1,-70,3,0,2,98,0.04286478463299515,100
169,0,8,0,-60,4,0,4,96,0.042650460709830175,100
170,0,5,7,-70,3,0,6,94,0.04243720840628103,100
171,0,3,3,-60,4,0,5,95,0.042225022364249624,100
172,0,5,2,-70,3,0,3,97,0.04201389725242838,100
173,0,3,6,-40,6,0,5,95,0.041803827766166236,100
174,0,4,2,-50,5,0,3,97,0.0415948086273354,100
175,0,4,2,-80,2,0,2,98,0.04138683458419873,100
176,0,4,4,-80,2,0,3,97,0.04117990041127773,100
177,0,2,3,-40,6,0,5,95,0.04097400090922134,100
178,0,0,5,-40,6,0,4,96,0.04076913090467523,100
179,0,2,6,-40,6,0,4,96,0.04056528525015186,100
180,0,4,9,0,10,0,4,96,0.0403624588239011,100
181,0,9,8,-20,8,0,5,95,0.04016064652978159,100
182,0,8,6,-40,6,0,3,97,0.03995984329713268,100
183,0,1,4,-20,8,0,5,95,0.03976004408064702,100
184,0,9,5,-80,2,0,4,96,0.03956124386024378,100
185,0,1,5,-50,5,0,4,96,0.039363437640942564,100
186,0,2,5,-40,6,0,8,92,0.03916662045273785,100
187,0,8,5,-50,5,0,1,99,0.03897078735047416,100
188,0,3,9,-40,6,0,1,99,0.03877593341372179,100
189,0,6,4,-70,3,0,6,94,0.03858205374665318,100
190,0,1,8,-40,6,0,10,90,0.03838914347791991,100
191,0,3,9,-70,3,0,3,97,0.038197197760530315,100
192,0,0,4,-80,2,0,4,96,0.038006211771727666,100
