episode,agent_id,pos_x,pos_y,total_reward,food_collected,collisions,random_actions,greedy_actions,epsilon
163,0,2,4,-50,5,0,2,98,0.04395266796884427
163,1,5,0,-50,5,2,6,94,0.04395266796884427
163,2,8,8,-70,4,2,0,100,0.04395266796884427
164,0,2,4,-90,1,3,4,96,0.04373290462900005
164,1,5,2,-65,4,5,3,97,0.04373290462900005
164,2,4,2,-100,3,6,5,95,0.04373290462900005
165,0,4,6,-30,7,1,6,94,0.04351424010585505
165,1,6,7,-70,3,2,5,95,0.04351424010585505
165,2,8,4,-55,6,3,5,95,0.04351424010585505
166,0,8,4,-80,2,5,5,95,0.043296668905325776
166,1,5,6,-60,6,6,3,97,0.043296668905325776
166,2,3,8,-85,3,3,4,96,0.043296668905325776
167,0,5,1,-50,5,7,4,96,0.04308018556079915
167,1,5,9,-65,5,10,2,98,0.04308018556079915
167,2,4,9,-145,1,11,6,94,0.04308018556079915
168,0,2,6,-60,4,1,2,98,0.04286478463299515
168,1,1,2,-65,4,2,5,95,0.04286478463299515
168,2,6,4,15,12,1,6,94,0.04286478463299515
169,0,0,9,-80,2,0,7,93,0.042650460709830175
169,1,6,4,-20,8,0,3,97,0.042650460709830175
169,2,8,7,-40,6,0,4,96,0.042650460709830175
170,0,1,1,-80,2,5,2,98,0.04243720840628103
170,1,9,2,-115,1,5,2,98,0.04243720840628103
170,2,3,8,-10,9,0,3,97,0.04243720840628103
171,0,2,6,-30,7,10,7,93,0.042225022364249624
171,1,2,2,-50,5,0,4,96,0.042225022364249624
171,2,0,7,-70,8,10,5,95,0.042225022364249624
172,0,5,8,-70,3,5,4,96,0.04201389725242838
172,1,5,9,-85,4,5,3,97,0.04201389725242838
172,2,0,7,-20,8,0,4,96,0.04201389725242838
173,0,3,3,-60,4,0,2,98,0.041803827766166236
173,1,4,5,-30,7,0,4,96,0.041803827766166236
173,2,1,0,-60,4,0,4,96,0.041803827766166236
174,0,7,9,-80,2,1,4,96,0.0415948086273354
174,1,4,7,-45,6,1,3,97,0.0415948086273354
174,2,1,4,-80,2,0,2,98,0.0415948086273354
175,0,0,7,-50,5,9,3,97,0.04138683458419873
175,1,2,8,-70,4,5,6,94,0.04138683458419873
175,2,0,9,-110,4,10,3,97,0.04138683458419873
176,0,4,8,-90,1,7,3,97,0.04117990041127773
176,1,7,6,-80,5,6,3,97,0.04117990041127773
176,2,1,7,-75,3,1,4,96,0.04117990041127773
177,0,7,7,-50,5,1,5,95,0.04097400090922134
177,1,3,6,-55,5,6,4,96,0.04097400090922134
177,2,4,8,-85,4,5,5,95,0.04097400090922134
178,0,3,1,-50,5,5,5,95,0.04076913090467523
178,1,3,0,-65,4,9,2,98,0.04076913090467523
178,2,3,1,-90,7,12,4,96,0.04076913090467523
179,0,3,1,-70,3,5,3,97,0.04056528525015186
179,1,8,7,-70,3,2,3,97,0.04056528525015186
179,2,3,0,-115,2,7,2,98,0.04056528525015186
180,0,3,2,-40,6,2,2,98,0.0403624588239011
180,1,2,1,-65,4,2,1,99,0.0403624588239011
180,2,3,3,-90,2,2,5,95,0.0403624588239011
181,0,1,3,-70,3,4,5,95,0.04016064652978159
181,1,7,1,-80,2,1,1,99,0.04016064652978159
181,2,0,3,-85,4,5,4,96,0.04016064652978159
182,0,9,3,-80,2,11,5,95,0.03995984329713268
182,1,7,1,-115,4,11,3,97,0.03995984329713268
182,2,2,2,-40,6,0,7,93,0.03995984329713268
183,0,2,5,0,10,1,1,99,0.03976004408064702
183,1,9,4,-70,3,0,3,97,0.03976004408064702
183,2,2,6,-45,6,1,4,96,0.03976004408064702
184,0,6,4,-60,4,2,5,95,0.03956124386024378
184,1,6,7,-45,6,2,3,97,0.03956124386024378
184,2,5,5,-90,2,2,8,92,0.03956124386024378
185,0,3,4,-40,6,6,4,96,0.039363437640942564
185,1,1,4,-95,2,9,3,97,0.039363437640942564
185,2,2,5,-115,3,9,4,96,0.039363437640942564
186,0,8,9,-40,6,4,4,96,0.03916662045273785
186,1,4,4,-65,5,5,5,95,0.03916662045273785
186,2,1,7,-75,4,3,6,94,0.03916662045273785
187,0,2,1,-50,5,1,6,94,0.03897078735047416
187,1,2,7,-55,5,2,7,93,0.03897078735047416
187,2,3,6,-5,10,1,1,99,0.03897078735047416
188,0,0,7,-20,8,5,4,96,0.03877593341372179
188,1,6,5,-70,5,5,1,99,0.03877593341372179
188,2,7,5,-20,9,2,8,92,0.03877593341372179
189,0,4,2,-30,7,4,5,95,0.03858205374665318
189,1,2,5,-100,2,4,8,92,0.03858205374665318
189,2,9,9,-40,6,0,4,96,0.03858205374665318
190,0,4,4,-20,8,3,4,96,0.03838914347791991
190,1,6,6,-15,9,4,8,92,0.03838914347791991
190,2,3,4,-105,2,5,2,98,0.03838914347791991
191,0,0,0,-60,4,3,6,94,0.038197197760530315
191,1,0,1,-75,3,2,1,99,0.038197197760530315
191,2,3,3,-105,1,3,7,93,0.038197197760530315
192,0,2,4,-20,8,0,4,96,0.038006211771727666
192,1,9,8,-80,2,1,2,98,0.038006211771727666
192,2,4,4,-95,1,1,2,98,0.038006211771727666
193,0,6,4,-50,5,7,3,97,0.037816180712869026
193,1,5,4,-95,2,5,2,98,0.037816180712869026
193,2,5,3,-100,3,6,2,98,0.037816180712869026
194,0,8,7,-50,5,0,2,98,0.03762709980930468
194,1,2,8,-30,7,2,5,95,0.03762709980930468
194,2,1,6,-30,8,2,8,92,0.03762709980930468
195,0,1,5,-70,3,5,5,95,0.03743896431025816
195,1,6,7,-50,6,5,3,97,0.03743896431025816
195,2,2,5,-100,3,6,0,100,0.03743896431025816
196,0,4,4,-90,1,7,4,96,0.037251769488706864
196,1,6,4,-95,2,5,4,96,0.037251769488706864
196,2,1,1,-110,2,6,8,92,0.037251769488706864
197,0,1,1,-50,5,11,1,99,0.03706551064126333
197,1,2,1,-55,5,10,7,93,0.03706551064126333
197,2,1,1,-175,2,19,4,96,0.03706551064126333
198,0,3,2,-90,1,1,4,96,0.03688018308805701
198,1,8,6,-50,5,1,5,95,0.03688018308805701
198,2,9,1,-70,4,2,6,94,0.03688018308805701
199,0,9,1,-60,4,3,6,94,0.03669578217261672
199,1,2,3,-80,3,3,1,99,0.03669578217261672
199,2,9,0,-90,2,2,4,96,0.03669578217261672
